Idy	Fecha de Respuesta	Nombre Tienda	Nota de Recomendación	Razón LTR	Nivel 1	Nivel 2	Nivel 3	archivo
1	30/5/2018	Unicentear	1	Xq un episodio cin un vencimiento de mi tar cmr. La cual ni aparecen mas en pagi mus ctas y tampoco recibo el resumen. Es mi última compra x este medio	CMR	Inconformidad Marca/ Servicio	CMR	detractores resto para compesandar
2	30/5/2018	Florida 1 (Florida N°343)	1	"Quise comprar un celular, me dijeron que del color que buscaba no había. Pedí información sobre cuál color quedaba y elegí otro, porque neceistaba comprarlo en el momento. Hice toda la gestión, incluyendo el seguro, pero cuando fuí a retirar me dejaron esperando un rato y luego vinieron a decirme que no había más que el equipo que estaba en exhibición.
No entiendo cómo venden algo que luego no tienen stock.
Perdí más de 45 minutos, para irme con las manos vacías."	Productos	Disponibilidad	Falta de stock	detractores resto para compesandar
3	30/5/2018	San Juan	5	"LA ATENCION ES BUENA PERO SIEMPRE HAY FALTA DE TALLES, EN LA ULTIMA OPORTUNIDAD ME PASO CON UN  PIYAMA DE HOMBRES, NO TENIAN TALLE S Y UNA CAMISA DE JOVEN NO TENIAN TALLE M.
EN OTRAS OPORTUNIDADES ME SUCEDIO INVARIABLEMENTE LO MISMO, EN OTROS DEPARTAMENTOS (ROPA MUJER)"	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
4	30/5/2018	Avellaneda	6	"Es mejorable la presentación de las prendas ,suelen estar arrugadas y sucias .Además cobran intereses ,excepto con la tarjeta Falabella .
Olvidaron retirar la alarma de la prenda y perdimos más de una hora al dia siguiente para lograr la saquen ."	Cajas	Alarma	Producto con alarma	detractores resto para compesandar
5	30/5/2018	Mendoza	6	"Faltan talles en prendas que me gustaron. Por eso no me traje otras cosas.
Fui a la tienda y por Internet ese mismo dia estaba más barato lo que compré. Para qué fui???  500$ MENOS. Yo podría haberlo comprado en un pago."	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
6	30/5/2018	Rosario	6	"No estan los vendedores en su lugar de trabajo para asesorar a la gente sobre precios y los productos.
Hay que buscarlos por la tienda para que eso suceda."	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
7	30/5/2018	Mendoza	5	No me gustó la atención de las vendedoras no me dieron asistencia tenía q estar buscandolas me atendió sola	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
8	30/5/2018	Tortugas	0	"Compre un producto por internet y en la tienda me querian dar otro. Cuando realice mi reclamo vinieron varias personas a intentar darme una respuesta pero ninguno tenia un argumento coherente. Iban y venian, estuve mas de una hora intentando entender el problema pero finalmente me dijeron que ellos no se hacian cargo de los problemas en compras online. Me argumentaban que falabella tienda es una xosa y falabella online es otra entidad distinta. Cuando pedi para hablar con un gerente responsable me decian que no habia ninguno en la sucursal.
Me fui muy desconforme. Aun sigo sin ninguna respuesta, tuve que hacer un reclamo a defensa del consumidor. Ademas de este problema, hay otras 3 compras que realice para retirar en la sucursal de tortugas  que no pueden entregarme por que perdieron los productos. Una verguenza! Una de las encargadas me dijo que ella personalmente me lo resolveria y que el dia lunes me enviaria una respuesta por mail. Hoy ya es miercoles y no tengo noticias del estado de esas compras. Compre muchisimas veces en falabella. Electrodomesticos, ropa, muebles pero nunca mas. Es muy malo el servicio que brindan. Cada vez mas desepcionada."	Despacho	Retiro en tienda	C&C	detractores resto para compesandar
9	30/5/2018	Cordoba	6	Por variedad de marcas y prendas	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
10	31/5/2018	Rosario	6	Los empleados algunas veces . No atienden bien  a la gente que no está bien cambiada, y cuando le hacen una pregunta lo miran mal... la gente común y sencilla es generalmente la que compra . Los muy elegantes casi nunca gastan. Eso nunca me gustó de los emplempleados de ahí. Te miran por arriba  del hombro. Hace 15 días fui a comprar dos perfumes para mi esposo (Carolina Herrera y Jean Paul Gaultier)  Y después  me iba a gimnasia y las empleadas (dos señoras adultas)No me dieron  importancia... Me crucé y los compré en juleriaque	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
